member_id,source_path,augmentation,mfcc_1_mean,mfcc_1_std,mfcc_1_min,mfcc_1_max,mfcc_2_mean,mfcc_2_std,mfcc_2_min,mfcc_2_max,mfcc_3_mean,mfcc_3_std,mfcc_3_min,mfcc_3_max,mfcc_4_mean,mfcc_4_std,mfcc_4_min,mfcc_4_max,mfcc_5_mean,mfcc_5_std,mfcc_5_min,mfcc_5_max,mfcc_6_mean,mfcc_6_std,mfcc_6_min,mfcc_6_max,mfcc_7_mean,mfcc_7_std,mfcc_7_min,mfcc_7_max,mfcc_8_mean,mfcc_8_std,mfcc_8_min,mfcc_8_max,mfcc_9_mean,mfcc_9_std,mfcc_9_min,mfcc_9_max,mfcc_10_mean,mfcc_10_std,mfcc_10_min,mfcc_10_max,mfcc_11_mean,mfcc_11_std,mfcc_11_min,mfcc_11_max,mfcc_12_mean,mfcc_12_std,mfcc_12_min,mfcc_12_max,mfcc_13_mean,mfcc_13_std,mfcc_13_min,mfcc_13_max,rolloff_mean,rolloff_std,rolloff_min,rolloff_max,centroid_mean,centroid_std,centroid_min,centroid_max,zcr_mean,zcr_std,zcr_min,zcr_max,rms_mean,rms_std,rms_min,rms_max,duration_sec
member_1,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_1/yes_approve.wav,original,-395.7792053222656,59.79718780517578,-463.3515625,-46.01548767089844,55.49399185180664,30.318687438964844,-49.951332092285156,126.321044921875,34.09233474731445,14.472857475280762,-11.125134468078613,62.104576110839844,29.727039337158203,14.70234203338623,-0.8585042357444763,88.91938781738281,21.360633850097656,13.335640907287598,-8.202970504760742,81.34715270996094,22.740419387817383,10.510713577270508,5.734185218811035,48.244781494140625,12.490339279174805,9.042658805847168,-21.75684356689453,26.93956756591797,14.98837947845459,5.024477005004883,0.07933572679758072,32.84272766113281,7.4454145431518555,8.929464340209961,-20.922847747802734,20.989334106445312,5.866809844970703,7.644828796386719,-21.685302734375,19.50652313232422,7.878188133239746,6.03326940536499,-13.86039924621582,25.53573226928711,7.719779014587402,6.929555892944336,-12.703060150146484,23.678924560546875,2.3556809425354004,11.375861167907715,-34.20606994628906,15.324905395507812,7882.717040170848,5134.833689090856,21.533203125,15310.107421875,3178.1190244015474,2178.6413068731745,7.177734588935298,9218.7525475855,0.040757123161764705,0.06448810976280481,0.0,0.3095703125,0.09108631312847137,0.20649774372577667,0.0039984374307096004,0.999969482421875,3.3436734693877552
member_1,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_1/yes_approve.wav,noise,-315.10174560546875,36.915000915527344,-362.9327697753906,-45.45599365234375,26.424436569213867,23.863468170166016,-49.97869110107422,124.98197174072266,22.89441680908203,10.189946174621582,-10.571175575256348,53.9366340637207,23.28275489807129,11.292902946472168,5.798005104064941,70.112060546875,19.453598022460938,10.748119354248047,0.5059529542922974,70.99275970458984,18.30910301208496,7.151659965515137,0.5865122079849243,38.088966369628906,12.128155708312988,5.294225215911865,-6.079260349273682,25.166004180908203,12.286186218261719,5.282071113586426,-7.341458797454834,28.14334487915039,8.149356842041016,7.099846839904785,-16.130516052246094,23.097061157226562,6.5763750076293945,6.624945163726807,-14.947126388549805,20.537277221679688,6.958629608154297,5.588918685913086,-10.647550582885742,20.318958282470703,5.630167484283447,6.598916530609131,-17.89410972595215,17.90873146057129,3.0652198791503906,9.33902359008789,-28.560441970825195,19.795711517333984,15299.974149816177,4395.289599004753,21.533203125,18755.419921875,7321.346767786612,2778.2175452888314,818.3337823754952,10361.285405551249,0.15319190635813149,0.13566677478263875,0.0,0.37060546875,0.0919930711388588,0.20612961053848267,0.006043026223778725,1.00005042552948,3.3436734693877552
member_1,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_1/yes_approve.wav,stretch,-408.79833984375,51.532405853271484,-456.8002014160156,-46.439422607421875,43.41819381713867,28.13824462890625,-50.205543518066406,126.4224624633789,30.552858352661133,11.620192527770996,-10.4934720993042,61.92642593383789,28.8837947845459,14.11095142364502,1.7211637496948242,87.00531005859375,22.26781463623047,12.928593635559082,1.1756643056869507,84.151611328125,21.827491760253906,8.675018310546875,5.296863079071045,47.38304138183594,13.025232315063477,7.355228424072266,-19.066757202148438,24.95763397216797,13.673155784606934,4.640131950378418,-2.4978525638580322,28.764911651611328,7.633010387420654,8.107881546020508,-22.846921920776367,23.387901306152344,6.49550199508667,6.753536224365234,-17.780956268310547,23.456268310546875,7.663935661315918,5.671356201171875,-12.018058776855469,26.059856414794922,6.673050880432129,6.766810417175293,-15.252509117126465,27.332054138183594,2.68051815032959,10.636236190795898,-36.15058898925781,19.30369758605957,7831.109448014019,5242.567950412831,21.533203125,15353.173828125,3131.7135303488294,2202.9911855250066,7.18512700366033,9485.532546557524,0.037988585475077885,0.06050163675869177,0.0,0.322265625,0.08018730580806732,0.19035032391548157,0.002242262940853834,0.9977136254310608,3.7151927437641725
member_1,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_1/yes_approve.wav,pitch+2,-408.7738952636719,50.60393142700195,-456.6572570800781,-49.58387756347656,42.5450553894043,28.021455764770508,-59.88985061645508,130.35751342773438,31.484041213989258,9.577316284179688,-3.217036247253418,51.49658966064453,29.140026092529297,13.99554443359375,4.697175025939941,76.94767761230469,23.641437530517578,11.494894027709961,3.2454817295074463,79.70503997802734,20.271320343017578,5.626163005828857,8.831491470336914,39.64280700683594,12.240837097167969,10.14499568939209,-31.27780532836914,25.022449493408203,12.51325511932373,6.175418853759766,-15.638191223144531,23.819740295410156,6.2563958168029785,9.686090469360352,-28.34932518005371,22.002212524414062,7.147017478942871,8.67434024810791,-26.82080078125,25.87018585205078,6.840892314910889,6.659866809844971,-15.039005279541016,20.75943374633789,3.9684417247772217,8.884673118591309,-34.184547424316406,20.067352294921875,2.491215467453003,8.648442268371582,-31.96994400024414,19.336116790771484,8808.793793252595,5813.055643961871,21.533203125,17161.962890625,3559.8838310013016,2508.5844421368915,7.195023281183291,10764.947574554304,0.04667901167820069,0.07819004948649833,0.0,0.4150390625,0.07933887839317322,0.19012778997421265,0.0021082067396491766,0.9875406622886658,3.3436734693877552
member_1,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_1/confirm_transaction.wav,original,-411.83984375,90.94756317138672,-498.03466796875,-216.6964569091797,90.9435806274414,31.835378646850586,-31.174388885498047,138.35089111328125,23.817657470703125,20.828535079956055,-47.34039306640625,60.321998596191406,27.618677139282227,17.479106903076172,-1.8250174522399902,89.80369567871094,8.868146896362305,11.94613265991211,-48.47742462158203,31.90819549560547,33.06015396118164,12.736151695251465,5.326403617858887,70.43859100341797,2.9672834873199463,10.520096778869629,-33.878944396972656,20.26500701904297,23.135955810546875,8.562692642211914,-2.42384934425354,47.71129608154297,-2.9047656059265137,11.533337593078613,-37.27394104003906,16.351787567138672,16.124801635742188,7.904478073120117,-9.581215858459473,35.351131439208984,1.4085479974746704,7.075599670410156,-14.937289237976074,28.628063201904297,14.443864822387695,6.8194169998168945,-1.529930591583252,36.628726959228516,-6.188539505004883,9.972362518310547,-38.24797821044922,10.926047325134277,11465.35400390625,2303.1028423757443,3832.91015625,17334.228515625,4565.023094835665,1798.5178539791814,2030.9534698472796,10480.697000306862,0.070654296875,0.08422868141805628,0.00927734375,0.455078125,0.014011913910508156,0.011151205748319626,0.003484729677438736,0.05183181166648865,3.239183673469388
member_1,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_1/confirm_transaction.wav,noise,-305.3746643066406,41.07682418823242,-375.26177978515625,-201.83033752441406,28.897634506225586,22.314619064331055,-37.47388458251953,97.7786865234375,21.454132080078125,11.37097454071045,-33.097232818603516,42.50592041015625,20.94698143005371,11.084817886352539,-8.794387817382812,66.14102935791016,16.120105743408203,8.96572208404541,-25.354156494140625,39.46528625488281,18.672231674194336,9.013433456420898,-8.48367691040039,50.15150451660156,11.57592487335205,5.9270100593566895,-11.851922035217285,23.681774139404297,11.543753623962402,7.524566173553467,-15.637077331542969,34.19960021972656,6.147320747375488,8.142475128173828,-21.196449279785156,19.33765411376953,8.04521656036377,6.380211353302002,-13.475465774536133,25.215940475463867,8.910096168518066,5.379287242889404,-8.356258392333984,28.4715633392334,7.078233242034912,4.7357635498046875,-6.581491470336914,23.060890197753906,2.4425485134124756,7.1404709815979,-21.982892990112305,15.884509086608887,17175.65185546875,1624.8076529573823,11886.328125,18884.619140625,8913.328465851962,1399.6187106348339,4621.207723378077,10641.698648384116,0.2383544921875,0.09818755312407651,0.0361328125,0.46435546875,0.015267238952219486,0.010594207793474197,0.006090735550969839,0.051951926201581955,3.239183673469388
member_1,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_1/confirm_transaction.wav,stretch,-449.1495666503906,91.3441162109375,-537.1102294921875,-262.4293518066406,86.60335540771484,31.870677947998047,-30.811546325683594,134.7781982421875,23.513816833496094,21.454975128173828,-51.12141418457031,58.61285400390625,27.384414672851562,17.287370681762695,-2.4577765464782715,89.64630126953125,8.606321334838867,11.864287376403809,-43.1474609375,29.701168060302734,32.95405578613281,12.158888816833496,8.714302062988281,67.7908935546875,2.5455801486968994,11.080214500427246,-37.97815704345703,20.48709487915039,23.622270584106445,9.6129789352417,-5.6383161544799805,47.587833404541016,-2.278656244277954,12.124649047851562,-40.95650100708008,19.43168830871582,16.749311447143555,8.649290084838867,-7.165218353271484,36.72704315185547,2.1209022998809814,7.89744234085083,-13.216262817382812,34.51873016357422,14.725221633911133,7.145384788513184,-0.6370859146118164,35.62145233154297,-6.553781032562256,9.827322006225586,-34.4018669128418,9.388679504394531,11751.797534415193,2084.3229687298503,6201.5625,17054.296875,4733.950307837922,1778.598093241162,2393.7397220029316,10358.938813909375,0.08251953125,0.09375655794256503,0.00439453125,0.486328125,0.00923173688352108,0.0076218112371861935,0.0022001033648848534,0.03139740601181984,3.599092970521542
member_1,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_1/confirm_transaction.wav,pitch+2,-443.44805908203125,92.80029296875,-534.6616821289062,-255.78857421875,80.89383697509766,34.5789680480957,-40.22293472290039,131.52035522460938,30.212541580200195,17.283130645751953,-25.14447784423828,73.03431701660156,19.920501708984375,17.10521125793457,-16.64603042602539,74.79631042480469,19.703962326049805,11.80276107788086,-33.092933654785156,46.0487060546875,25.155853271484375,8.701711654663086,-0.05097159743309021,56.90028381347656,10.465893745422363,12.58669662475586,-34.543304443359375,30.127880096435547,16.859291076660156,8.86031436920166,-6.7670111656188965,44.347084045410156,4.1000871658325195,10.181150436401367,-24.508119583129883,21.09282684326172,13.417866706848145,7.4531707763671875,-3.9211151599884033,36.714576721191406,5.907010555267334,8.906410217285156,-10.33935546875,38.343040466308594,4.8660993576049805,6.567631244659424,-13.753450393676758,19.094039916992188,-2.0018396377563477,10.049229621887207,-26.911401748657227,16.37694549560547,12749.34814453125,2731.590476529424,3380.712890625,18884.619140625,5165.133189700172,2046.5594517016884,1984.6857649367632,11345.43248180605,0.08949148995535715,0.10164564427302872,0.00830078125,0.47412109375,0.00963815301656723,0.007815917022526264,0.0022667606826871634,0.039966050535440445,3.239183673469388
member_3,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_3/yes_approve.wav,original,-513.4660034179688,67.85223388671875,-771.478759765625,-347.59033203125,116.2714614868164,39.28598403930664,0.0,206.9806671142578,12.383193969726562,20.689754486083984,-41.812164306640625,69.61079406738281,45.802146911621094,17.6588134765625,0.0,99.00038146972656,-1.0776824951171875,14.777149200439453,-38.623863220214844,53.83507537841797,24.90314483642578,11.507887840270996,-8.7687349319458,58.16938018798828,1.2102471590042114,8.989729881286621,-23.459606170654297,23.2764949798584,14.74206256866455,9.4829740524292,-22.745513916015625,32.86103057861328,-6.102398872375488,8.245820045471191,-34.18049240112305,8.711462020874023,6.057889461517334,6.51424503326416,-14.278271675109863,19.76506805419922,-4.100333213806152,7.685338973999023,-28.875957489013672,11.950998306274414,-3.347745656967163,9.712637901306152,-27.735069274902344,14.768156051635742,4.622681140899658,6.321354866027832,-21.25547981262207,18.32253074645996,7934.851126609442,3947.9503732521025,0.0,15070.3125,3394.6741191012934,1524.685944088203,0.0,9237.940758193246,0.049934616416309016,0.03888264128977204,0.0,0.22998046875,0.007533487863838673,0.010331319645047188,0.0,0.04850447177886963,2.474666666666667
member_3,/home/nanen-miracle-mbanaade/ML Code/ML_Multimodal-User-Auth-System/data/audio/member_3/yes_approve.wav,noise,-333.1918640136719,23.88091278076172,-390.4784851074219,-271.9034118652344,23.02716636657715,26.384323120117188,-6.8720903396606445,91.13322448730469,20.297222137451172,18.69285011291504,-3.993628740310669,69.91703033447266,16.76055908203125,13.463937759399414,-4.489762306213379,54.83177947998047,11.480963706970215,9.94963550567627,-7.252262115478516,48.705230712890625,8.793614387512207,7.3289079666137695,-17.432804107666016,32.548641204833984,7.478952407836914,5.10455846786499,-7.710749626159668,23.656539916992188,4.519647598266602,5.497004985809326,-11.675655364990234,16.330215454101562,2.3107142448425293,6.668952941894531,-20.176342010498047,15.034131050109863,0.9668809771537781,6.427590370178223,-19.41653823852539,13.920370101928711,-0.10968014597892761,7.129441261291504,-19.028995513916016,12.90283489227295,-0.10598944872617722,6.836738109588623,-19.280838012695312,13.267169952392578,1.0036367177963257,6.2417778968811035,-17.502578735351562,16.51136589050293,19595.05767167382,1206.0327726597523,14460.9375,20789.0625,10512.535482313504,1825.6009607241938,4897.899812279903,12137.51951375471,0.35799398135729615,0.13459104002636837,0.06005859375,0.5009765625,0.010081236250698566,0.009326459839940071,0.003469120943918824,0.04871360585093498,2.474666666666667
